,Gene,Name,Parent Gene,Final_name
105,gene73,sll1052,sll1052,sll1052
107,gene74,,sll1051,sll1051
108,gene75,sll1049,sll1049,sll1049
109,gene76,slr1127,slr1127,slr1127
110,gene77,slr1128,slr1128,slr1128
112,gene78,,slr1129,slr1129
114,gene79,,slr1130,slr1130
116,gene80,,sll1045,sll1045
118,gene81,,sll1043,sll1043
120,gene82,,sll0716,sll0716
122,gene83,,slr0721,slr0721
124,gene84,,sll0712,sll0712
125,gene85,sll0711,sll0711,sll0711
126,gene86,sll0710,sll0710,sll0710
128,gene87,,sll0709,sll0709
130,gene88,,sll0708,sll0708
131,gene89,slr0722,slr0722,slr0722
132,gene90,slr0723,slr0723,slr0723
134,gene91,,slr0724,slr0724
135,gene92,slr0725,slr0725,slr0725
136,gene93,slr0727,slr0727,slr0727
137,gene94,slr0728,slr0728,slr0728
138,gene95,slr0729,slr0729,slr0729
139,gene96,slr0730,slr0730,slr0730
140,gene97,slr0731,slr0731,slr0731
142,gene98,,sll0704,sll0704
143,gene99,slr0732,slr0732,slr0732
144,gene100,sll0703,sll0703,sll0703
145,gene101,sll0702,sll0702,sll0702
147,gene102,,slr0733,slr0733
148,gene103,ssl1326,ssl1326,ssl1326
149,gene104,slr0734,slr0734,slr0734
150,gene105,sll0700,sll0700,sll0700
151,gene106,sll0699,sll0699,sll0699
153,gene107,,sll0698,sll0698
155,gene108,,slr0737,slr0737
157,gene109,,slr0738,slr0738
159,gene110,,slr0739,slr0739
160,gene111,slr0740,slr0740,slr0740
161,gene112,sll0696,sll0696,sll0696
163,gene113,,slr0741,slr0741
164,gene114,slr0742,slr0742,slr0742
166,gene115,,slr0743,slr0743
168,gene116,,slr0744,slr0744
169,gene117,slr0236,slr0236,slr0236
171,gene118,,slr0237,slr0237
172,gene119,slr0238,slr0238,slr0238
173,gene120,ssl0426,ssl0426,ssl0426
175,gene121,,slr0239,slr0239
176,gene122,slr0240,slr0240,slr0240
177,gene123,slr0241,slr0241,slr0241
179,gene124,,slr0242,slr0242
180,gene125,slr0243,slr0243,slr0243
181,gene126,sll0230,sll0230,sll0230
182,gene127,slr0244,slr0244,slr0244
184,gene128,,sml0003,sml0003
185,gene129,slr0245,slr0245,slr0245
186,gene130,sll0228,sll0228,sll0228
188,gene131,,sll0227,sll0227
190,gene132,,sll0226,sll0226
191,gene133,sll0225,sll0225,sll0225
192,gene134,sll0224,sll0224,sll0224
194,gene136,slr0249,slr0249,slr0249
195,gene137,slr0250,slr0250,slr0250
196,gene138,slr0251,slr0251,slr0251
197,gene139,slr0252,slr0252,slr0252
199,gene140,,ssr0390,ssr0390
200,gene141,ssl0410,ssl0410,ssl0410
202,gene142,,sll0223,sll0223
204,gene143,,sll0222,sll0222
205,gene144,sgl0002,sgl0002,sgl0002
